icd_code,icd_descr,code_type
E85.3,Haemodialysis-associated amyloidosis,1
N16.5,Renal tubulo-interstitial disorders in transplant rejection,1
N18.5,"Chronic kidney disease, stage 5",1
N18.6,End stage renal disease,1
Q60.1,"Renal agenesis, bilateral",1
T82.4,Mechanical complication of vascular dialysis catheter,1
T86.1,Kidney transplant failure and rejection,1
Y60.2,"Unintentional cut, puncture, perforation or haemorrhage during surgical and medical care - During kidney dialysis or other perfusion",1
Y61.2,Foreign object accidentally left in body during surgical and medical care - During kidney dialysis or other perfusion,1
Y62.2,Failure of sterile precautions during surgical and medical care - During kidney dialysis or other perfusion,1
Y84.1,"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure - Kidney dialysis",1
Z49.1,Extracorporeal dialysis,1
Z49.2,Other dialysis,1
Z49.3,Encounter for adequacy testing for dialysis,1
Z94.0,Kidney transplant status,1
Z99.2,Dependence on renal dialysis,1
I12.0,Hypertensive renal disease with renal failure,2
I13.1,Hypertensive heart and renal disease with renal failure,2
I13.2,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,2
N19,Unspecified kidney failure,2
N99.0,Postprocedural (acute or chronic) kidney failure,2
O08.4,Renal failure following ectopic and molar pregnancy,2
P96.0,Congenital renal failure,2
