medcodeid,medcode_term,code_type
4223014,Bilateral nephrectomy,1
30043012,Mechanical complication of dialysis catheter,1
117168016,Renal transplant,1
118218017,Peritoneal dialysis,1
251956015,H/O: kidney dialysis,1
251957012,H/O: renal dialysis,1
261136015,Peritoneal dialysis sample,1
272320011,Allotransplantation of kidney from live donor,1
272325018,Cadaveric renal transplant,1
272326017,Other specified transplantation of kidney,1
272327014,Transplantation of kidney NOS,1
272389014,Exploration of renal transplant,1
278832011,Haemodialysis,1
278834012,Other specified compensation for renal failure,1
278835013,Compensation for renal failure NOS,1
278844014,Insertion of temporary peritoneal dialysis catheter,1
282526013,Intestinal dialysis,1
290737016,Dependence on renal dialysis,1
324973015,Kidney transplant failure and rejection,1
329081019,Foreign object left in body during kidney dialysis,1
329116017,Failure of sterile precautions during kidney dialysis,1
353974015,Xenograft renal transplant,1
354567013,Beta-2 microglobulin arthropathy,1
354574015,Aluminium-related osteopathy,1
354575019,Aluminium bone disease,1
354578017,Aluminium-related osteomalacia,1
354582015,Aluminium-related fracturing osteodystrophy,1
354591016,Bloodstained peritoneal dialysis effluent,1
354610013,Renal transplant rejection,1
354612017,Accelerated rejection of renal transplant,1
354613010,Very mild acute rejection of renal transplant,1
354615015,Acute rejection of renal transplant,1
354616019,Acute rejection of renal transplant - grade I,1
354617011,Acute rejection of renal transplant - grade II,1
354618018,Acute rejection of renal transplant - grade III,1
354619014,Chronic rejection of renal transplant,1
354621016,Chronic transplant nephropathy,1
354623018,Chronic rejection of renal transplant - grade 1,1
354624012,Chronic rejection of renal transplant - grade II,1
354627017,Chronic rejection of renal transplant - grade III,1
354628010,Acute-on-chronic rejection of renal transplant,1
357219012,Continuous ambulatory peritoneal dialysis,1
394365013,Transplant nephrectomy,1
394639018,Compensation for renal failure,1
394640016,Renal dialysis,1
413415016,Unexplained episode of renal transplant dysfunction,1
422992018,Excision of rejected transplanted kidney,1
453312018,Peritoneal dialysis-associated peritonitis,1
460644012,History of renal transplant,1
460680012,Dialysis finding,1
460910019,[V]Aftercare involving intermittent dialysis,1
460911015,[V]Aftercare involving extracorporeal dialysis,1
460913017,[V]Other specified aftercare involving intermittent dialysis,1
460914011,[V]Unspecified aftercare involving intermittent dialysis,1
461420012,Dialysis procedure,1
501594013,Transplantation of kidney,1
507483018,Dialysis disequilibrium,1
507993019,Acute hypercalcaemia of dialysis,1
1227722017,[V]Aftercare involving renal dialysis NOS,1
1227723010,[V]Aftercare involving peritoneal dialysis,1
1229817017,Bilateral congenital absence of kidneys,1
2474415018,Dialysis fluid examination,1
2474453011,Peritoneal dialysis fluid cell count,1
2478488018,Dialysis fluid urea level,1
2478490017,Dialysis fluid creatinine level,1
2478492013,Dialysis fluid glucose level,1
2478640010,Dialysis fluid potassium level,1
2478641014,Dialysis fluid sodium level,1
2645965011,Stenosis of arteriovenous dialysis fistula,1
2675886019,Creation of graft fistula for dialysis,1
2692168016,Automated peritoneal dialysis,1
2767154014,Chronic kidney disease stage 5,1
3525759011,Insertion of tunnelled haemodialysis catheter,1
90461000006118,Transplantation of kidney from cadaver,1
90471000006113,Live donor renal transplant,1
106291000006118,Thomas intravascular shunt for dialysis,1
176711000006111,"Renal dialysis with complication, without blame",1
177251000006119,"Renal transplant with complication, without blame",1
177341000006111,Renal tubulo-interstitial disorders in transplant rejection,1
181021000006119,Removal of ambulatory peritoneal dialysis catheter,1
215521000000116,End stage renal disease,1
228101000006113,Placement ambulatory apparatus compensation renal failure,1
228111000006111,Placement ambulatory apparatus- compensate renal failure NOS,1
228121000006115,Placement ambulatory apparatus- compensate renal failure OS,1
228131000006117,Placement ambulatory dialysis apparatus - compens renal fail,1
228211000006117,Placement other apparatus for compensation for renal failure,1
228221000006113,Placement other apparatus- compensate for renal failure NOS,1
228231000006111,Placement other apparatus- compensate for renal failure OS,1
304111000000114,Chronic kidney disease stage 5,1
366671000000118,Interventions associated with transplantation of kidney,1
372621000000114,Allotransplantation of kidney from beating heart cadaver,1
375841000000114,Peritoneal dialysis NEC,1
380061000000118,Interventions associated with transplantation of kidney NOS,1
380101000000116,Examination of recipient after kidney transplant,1
384641000006114,[X]Failure sterile precautions dur kidney dialys/other perf,1
387441000006119,[X]Foreign obj accid left body dur kidney dialys/oth perfus,1
394661000006112,[X]Kidny dialysis caus abn reac pt/lat comp no misad at time,1
399381000000115,Allotransplantation of kidney from cadaver NEC,1
