opcs_code,opcs_descr,code_type
L741,Insertion of arteriovenous prosthesis,1
L742,Creation of arteriovenous fistula NEC,1
L743,Attention to arterioenous shunt,1
L744,Banding of arteriovenous fistula,1
L745,Thrombectomy of arteriovenous fistula,1
L746,Creation of graft fistula for dialysis,1
L748,Other specified arterioveous shunt,1
L749,Unspecified arteriovenous shunt,1
M01,Transplantation of kidney,1
M012,Allotransplantation of kidney from live donor,1
M013,Allotransplantation of kidney from cadaver NEC,1
M014,Allotransplantation of kidney from cadaver heart beating,1
M015,Allotransplantation of kidney from cadaver heart non-beating,1
M018,Other specified transplantation of kidney,1
M019,Unspecified transplantation of kidney,1
M023,Bilateral nephrectomy,1
M026,Excision of rejected transplanted kidney,1
M027,Excision of transplanted kidney NEC,1
M084,Exploration of transplanted kidney,1
M17,Interventions associated with transplantation of kidney,1
M174,Post-transplantation of kidney examination â€“ recipient,1
M178,Other specified interventions associated with transplantation of kidney,1
M179,Unspecified interventions associated with transplantation of kidney,1
X40,Compensation for renal failure,1
X401,Dialysis Renal,1
X402,Dialysis Peritoneal NEC,1
X403,Haemodialysis NEC,1
X405,Dialysis Peritoneal Automated,1
X406,Continuous ambulatory peritoneal dialysis,1
X408,Other specified compensation for renal failure,1
X409,Unspecified compensation for renal failure,1
X41,Placement of ambulatory apparatus for compensation for renal failure,1
X411,Insertion of ambulatory peritoneal dialysis catheter,1
X412,Removal of ambulatory peritoneal dialysis catheter,1
X418,Other specified placement of ambulatory apparatus for compensation for renal failure,1
X419,Unspecified placement of ambulatory apparatus for compensation for renal failure,1
X42,Placement of other apparatus for compensation for renal failure,1
X421,Insertion of temporary peritoneal dialysis catheter,1
X428,Other specified placement of other apparatus for compensation for renal failure,1
X429,Unspecified placement of other apparatus for compensation for renal failure,1
