medcodeid,medcode_term
299665018,Hypertensive renal disease with renal failure
299673010,Hypertensive heart and renal disease with renal failure
305192017,[X]Other chronic renal failure
305328015,Incomplete spontaneous abortion with renal failure
305343018,Complete spontaneous abortion with renal failure
305387010,Legal termination of pregnancy complicated by renal failure
305407013,Incomplete legal abortion with renal failure
305428016,Complete legal abortion with renal failure
305447018,Unspecified illegal abortion with renal failure
305460012,Incomplete illegal abortion with renal failure
305473011,Complete illegal abortion with renal failure
305491018,Unspecified abortion with renal failure
305530017,Failed attempted abortion with renal failure
305569011,Renal failure following abortive pregnancy
356557018,Renal failure-associated hyperphosphataemia
396711013,RF - Renal failure
402249011,Congenital renal failure
403109016,Renal failure as a complication of care
403110014,Kidney failure as a complication of care
454255014,Anaemia secondary to renal failure
509111010,Chronic renal failure
1212359014,Renal failure NOS following abortive pregnancy
7.9191E+13,Ultrafiltration of blood
1.76741E+14,Renal failure after crushing
1.76771E+14,Renal failure following crush syndrome
2.18351E+14,Post operative renal failure
4.24731E+14,Renal failure
4.80871E+14,Anaemia of chronic renal failure
7.89941E+14,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure
8.86631E+14,Renal failure NOS
8.87731E+14,Renal failure
9.06301E+14,[RFC] Renal probs including renal failure
1816581000006110,Kidney failure unspecified
3183501000006111,Renal failure syndrome
3973811000006118,Chronic renal failure syndrome
3973841000006119,CRF - Chronic renal failure
4717161000006116,Ultrafiltration
4794191000006115,Failed attempted termination of pregnancy with renal failure
7043231000006112,Chronic progressive renal failure
