medcodeid,medcode_term
4223014,Bilateral nephrectomy
30043012,Mechanical complication of dialysis catheter
117168016,Renal transplant
118218017,Peritoneal dialysis
251956015,H/O: kidney dialysis
251957012,H/O: renal dialysis
261136015,Peritoneal dialysis sample
272320011,Allotransplantation of kidney from live donor
272325018,Cadaveric renal transplant
272326017,Other specified transplantation of kidney
272327014,Transplantation of kidney NOS
272389014,Exploration of renal transplant
278832011,Haemodialysis
278834012,Other specified compensation for renal failure
278835013,Compensation for renal failure NOS
278844014,Insertion of temporary peritoneal dialysis catheter
282526013,Intestinal dialysis
290737016,Dependence on renal dialysis
324973015,Kidney transplant failure and rejection
329081019,Foreign object left in body during kidney dialysis
329116017,Failure of sterile precautions during kidney dialysis
353974015,Xenograft renal transplant
354567013,Beta-2 microglobulin arthropathy
354574015,Aluminium-related osteopathy
354575019,Aluminium bone disease
354578017,Aluminium-related osteomalacia
354582015,Aluminium-related fracturing osteodystrophy
354591016,Bloodstained peritoneal dialysis effluent
354610013,Renal transplant rejection
354612017,Accelerated rejection of renal transplant
354613010,Very mild acute rejection of renal transplant
354615015,Acute rejection of renal transplant
354616019,Acute rejection of renal transplant - grade I
354617011,Acute rejection of renal transplant - grade II
354618018,Acute rejection of renal transplant - grade III
354619014,Chronic rejection of renal transplant
354621016,Chronic transplant nephropathy
354623018,Chronic rejection of renal transplant - grade 1
354624012,Chronic rejection of renal transplant - grade II
354627017,Chronic rejection of renal transplant - grade III
354628010,Acute-on-chronic rejection of renal transplant
357219012,Continuous ambulatory peritoneal dialysis
394365013,Transplant nephrectomy
394639018,Compensation for renal failure
394640016,Renal dialysis
413415016,Unexplained episode of renal transplant dysfunction
422992018,Excision of rejected transplanted kidney
453312018,Peritoneal dialysis-associated peritonitis
460644012,History of renal transplant
460680012,Dialysis finding
460910019,[V]Aftercare involving intermittent dialysis
460911015,[V]Aftercare involving extracorporeal dialysis
460913017,[V]Other specified aftercare involving intermittent dialysis
460914011,[V]Unspecified aftercare involving intermittent dialysis
461420012,Dialysis procedure
501594013,Transplantation of kidney
507483018,Dialysis disequilibrium
507993019,Acute hypercalcaemia of dialysis
1227722017,[V]Aftercare involving renal dialysis NOS
1227723010,[V]Aftercare involving peritoneal dialysis
1229817017,Bilateral congenital absence of kidneys
2474415018,Dialysis fluid examination
2474453011,Peritoneal dialysis fluid cell count
2478488018,Dialysis fluid urea level
2478490017,Dialysis fluid creatinine level
2478492013,Dialysis fluid glucose level
2478640010,Dialysis fluid potassium level
2478641014,Dialysis fluid sodium level
2645965011,Stenosis of arteriovenous dialysis fistula
2675886019,Creation of graft fistula for dialysis
2692168016,Automated peritoneal dialysis
