opcs_code,opcs_descr,krt_type
X403,Haemodialysis NEC,HD
X404,Haemofiltration,HD
X407,Haemoperfusion,HD
X401,Dialysis Renal,iD
X41,Placement of ambulatory apparatus for compensation for renal failure,iD
X418,Other specified placement of ambulatory apparatus for compensation for renal failure,iD
X419,Unspecified placement of ambulatory apparatus for compensation for renal failure,iD
X42,Placement of other apparatus for compensation for renal failure,iD
X428,Other specified placement of other apparatus for compensation for renal failure,iD
X429,Unspecified placement of other apparatus for compensation for renal failure,iD
M023,Bilateral nephrectomy,iKRT
X402,Dialysis Peritoneal NEC,PD
X405,Dialysis Peritoneal Automated,PD
X406,Continuous ambulatory peritoneal dialysis,PD
X411,Insertion of ambulatory peritoneal dialysis catheter,PD
X421,Insertion of temporary peritoneal dialysis catheter,PD
M01,Transplantation of kidney,Tx
M012,Allotransplantation of kidney from live donor,Tx
M013,Allotransplantation of kidney from cadaver NEC,Tx
M014,Allotransplantation of kidney from cadaver heart beating,Tx
M015,Allotransplantation of kidney from cadaver heart non-beating,Tx
M018,Other specified transplantation of kidney,Tx
M019,Unspecified transplantation of kidney,Tx
M026,Excision of rejected transplanted kidney,Tx
M027,Excision of transplanted kidney NEC,Tx
M084,Exploration of transplanted kidney,Tx
M17,Interventions associated with transplantation of kidney,Tx
M174,Post-transplantation of kidney examination â€“ recipient,Tx
M178,Other specified interventions associated with transplantation of kidney,Tx
M179,Unspecified interventions associated with transplantation of kidney,Tx
