medcodeid,medcode_term
30043012,Mechanical complication of dialysis catheter
278832011,Haemodialysis
349998013,Haemofiltration
354567013,Beta-2 microglobulin arthropathy
354574015,Aluminium-related osteopathy
354575019,Aluminium bone disease
354578017,Aluminium-related osteomalacia
354582015,Aluminium-related fracturing osteodystrophy
507483018,Dialysis disequilibrium
507993019,Acute hypercalcaemia of dialysis
3525759011,Insertion of tunnelled haemodialysis catheter
7.9191E+13,Ultrafiltration of blood
1.06291E+14,Thomas intravascular shunt for dialysis
2211311000000117,Haemodialysis first use syndrome
2211671000000119,Anaphylactoid reaction due to haemodialysis
2649061000006115,Dialysis dementia
3468091000006118,Haemodialysis training at home
3605671000006116,"Haemodialysis, maintenance at home"
3798201000006112,Formation of arteriovenous fistula for kidney dialysis
3918321000006116,Dialysis disequilibrium syndrome
4717161000006116,Ultrafiltration
4938591000006118,Washing back through haemodialysis lines
5053041000006110,Continuous venovenous haemofiltration
5191491000006112,Venous port blood sampling during haemodialysis
5907591000006115,Hemodialysis
7401361000006113,Haemodialysis start/stop set
7403361000006112,"Haemodialysis system, institutional/home-use"
7641781000006113,Maintenance haemodialysis
7723851000006119,Continuous renal replacement therapy
7770921000006110,Haemodialysis care
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
