icd_code,icd_descr,krt_type
E85.3,Haemodialysis-associated amyloidosis,HD
Y60.2,"Unintentional cut, puncture, perforation or haemorrhage during surgical and medical care - During kidney dialysis or other perfusion",HD
Y61.2,Foreign object accidentally left in body during surgical and medical care - During kidney dialysis or other perfusion,HD
Y62.2,Failure of sterile precautions during surgical and medical care - During kidney dialysis or other perfusion,HD
Z49.1,Extracorporeal dialysis,HD
Y84.1,"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure - Kidney dialysis",iD
Z49.2,Other dialysis,iD
Z99.2,Dependence on renal dialysis,iD
N16.5,Renal tubulo-interstitial disorders in transplant rejection,Tx
T86.1,Kidney transplant failure and rejection,Tx
