medcodeid,medcode_term
117168016,Renal transplant
272320011,Allotransplantation of kidney from live donor
272325018,Cadaveric renal transplant
272326017,Other specified transplantation of kidney
272327014,Transplantation of kidney NOS
272389014,Exploration of renal transplant
324973015,Kidney transplant failure and rejection
353974015,Xenograft renal transplant
354610013,Renal transplant rejection
354612017,Accelerated rejection of renal transplant
354613010,Very mild acute rejection of renal transplant
354615015,Acute rejection of renal transplant
354616019,Acute rejection of renal transplant - grade I
354617011,Acute rejection of renal transplant - grade II
354618018,Acute rejection of renal transplant - grade III
354619014,Chronic rejection of renal transplant
354621016,Chronic transplant nephropathy
354623018,Chronic rejection of renal transplant - grade 1
354624012,Chronic rejection of renal transplant - grade II
354627017,Chronic rejection of renal transplant - grade III
354628010,Acute-on-chronic rejection of renal transplant
394365013,Transplant nephrectomy
413415016,Unexplained episode of renal transplant dysfunction
422992018,Excision of rejected transplanted kidney
460644012,History of renal transplant
501594013,Transplantation of kidney
9.0461E+13,Transplantation of kidney from cadaver
9.0471E+13,Live donor renal transplant
1.77251E+14,"Renal transplant with complication, without blame"
1.77341E+14,Renal tubulo-interstitial disorders in transplant rejection
3.66671E+14,Interventions associated with transplantation of kidney
3.72621E+14,Allotransplantation of kidney from beating heart cadaver
3.80061E+14,Interventions associated with transplantation of kidney NOS
3.80101E+14,Examination of recipient after kidney transplant
3.99381E+14,Allotransplantation of kidney from cadaver NEC
4.24791E+14,[X]Renal tubulo-interstitial disorders/transplant rejection
4.78131E+14,Allotransplantation of kidney from cadaver
6.15611E+14,Det.ren.func.after ren.transpl
7.54061E+14,"Kidney transplant with complication, without blame"
7.54781E+14,"Kidney dialysis with complication, without blame"
9.00121E+14,Renal transplant rejected
9.06351E+14,[RFC] Renal transplant
9.88961E+14,Renal transplant rejected
1549841000006116,Allotransplantation of kidney from non-beating heart cadaver
1550021000006110,OS interventions associated with transplantation of kidney
1905531000006112,Excision of rejected transplanted kidney
2189151000000117,Urological complication of renal transplant
2191221000000118,Vascular complication of renal transplant
2197961000000113,Rupture of artery of transplanted kidney
2198001000000111,Rupture of vein of transplanted kidney
2198141000000110,Stenosis of vein of transplanted kidney
2209021000000112,Aneurysm of vein of transplanted kidney
2209101000000119,Aneurysm of artery of transplanted kidney
2234541000000115,Thrombosis of artery of transplanted kidney
3647021000006114,Transplant of kidney
3647031000006112,Kidney transplantation
3647051000006117,Tx - Renal transplantation
3647061000006115,Kidney transplant
3647091000006111,Renal graft
3653841000006116,Transplanted kidney
4669451000006113,Exploration of kidney transplant
5094171000006114,End stage renal failure with renal transplant
5096031000006117,Primary non-function of renal transplant
5096231000006110,Failed renal transplant
5161281000006112,US scan of transplant kidney
5647621000006110,Entire transplant kidney
7212381000006113,Renal transplant biopsy sample
7238471000006113,Biopsy of transplanted kidney using ultrasound guidance
7700671000006112,Cadaver donor for kidney transplant
7710041000006114,Transplant renal artery stenosis
7714921000006112,Chronic kidney disease stage 5 with transplant
