medcodeid,medcode_term,krt_type
30043012,Mechanical complication of dialysis catheter,HD
278832011,Haemodialysis,HD
349998013,Haemofiltration,HD
354567013,Beta-2 microglobulin arthropathy,HD
354574015,Aluminium-related osteopathy,HD
354575019,Aluminium bone disease,HD
354578017,Aluminium-related osteomalacia,HD
354582015,Aluminium-related fracturing osteodystrophy,HD
507483018,Dialysis disequilibrium,HD
507993019,Acute hypercalcaemia of dialysis,HD
3525759011,Insertion of tunnelled haemodialysis catheter,HD
79191000006119,Ultrafiltration of blood,HD
106291000006118,Thomas intravascular shunt for dialysis,HD
2211311000000117,Haemodialysis first use syndrome,HD
2211671000000119,Anaphylactoid reaction due to haemodialysis,HD
2649061000006115,Dialysis dementia,HD
3468091000006118,Haemodialysis training at home,HD
3605671000006116,"Haemodialysis, maintenance at home",HD
3798201000006112,Formation of arteriovenous fistula for kidney dialysis,HD
3918321000006116,Dialysis disequilibrium syndrome,HD
4717161000006116,Ultrafiltration,HD
4938591000006118,Washing back through haemodialysis lines,HD
5053041000006110,Continuous venovenous haemofiltration,HD
5191491000006112,Venous port blood sampling during haemodialysis,HD
5907591000006115,Hemodialysis,HD
7401361000006113,Haemodialysis start/stop set,HD
7403361000006112,"Haemodialysis system, institutional/home-use",HD
7641781000006113,Maintenance haemodialysis,HD
7723851000006119,Continuous renal replacement therapy,HD
7770921000006110,Haemodialysis care,HD
251956015,H/O: kidney dialysis,iD
251957012,H/O: renal dialysis,iD
290737016,Dependence on renal dialysis,iD
329081019,Foreign object left in body during kidney dialysis,iD
329116017,Failure of sterile precautions during kidney dialysis,iD
394640016,Renal dialysis,iD
460680012,Dialysis finding,iD
460910019,[V]Aftercare involving intermittent dialysis,iD
460911015,[V]Aftercare involving extracorporeal dialysis,iD
460913017,[V]Other specified aftercare involving intermittent dialysis,iD
460914011,[V]Unspecified aftercare involving intermittent dialysis,iD
461420012,Dialysis procedure,iD
1227722017,[V]Aftercare involving renal dialysis NOS,iD
2474415018,Dialysis fluid examination,iD
2478488018,Dialysis fluid urea level,iD
2478490017,Dialysis fluid creatinine level,iD
2478492013,Dialysis fluid glucose level,iD
2478640010,Dialysis fluid potassium level,iD
2478641014,Dialysis fluid sodium level,iD
176711000006111,"Renal dialysis with complication, without blame",iD
228101000006113,Placement ambulatory apparatus compensation renal failure,iD
228111000006111,Placement ambulatory apparatus- compensate renal failure NOS,iD
228121000006115,Placement ambulatory apparatus- compensate renal failure OS,iD
228131000006117,Placement ambulatory dialysis apparatus - compens renal fail,iD
228211000006117,Placement other apparatus for compensation for renal failure,iD
228221000006113,Placement other apparatus- compensate for renal failure NOS,iD
228231000006111,Placement other apparatus- compensate for renal failure OS,iD
384641000006114,[X]Failure sterile precautions dur kidney dialys/other perf,iD
387441000006119,[X]Foreign obj accid left body dur kidney dialys/oth perfus,iD
394661000006112,[X]Kidny dialysis caus abn reac pt/lat comp no misad at time,iD
429761000006115,[X]Unintent cut/punct/perf/haemorrh dur kidney dial/oth perf,iD
441151000006115,"Accidental cut, puncture, perforation or haemorrhage during kidney dialysis",iD
441161000006118,"Accid cut,puncture,perf,h'ge - kidney dialysis/oth perfusion",iD
446291000006111,Accidental cut/puncture/perf/haem'ge during renal dialysis,iD
619541000006116,Dialysis for renal failure,iD
663551000006118,Failure of sterile precautions during renal dialysis,iD
713611000006110,Mechanical failure of instrument or apparatus during kidney dialysis,iD
713671000006118,Mechanical failure of apparatus during renal dialysis,iD
766101000006114,Foreign object left in body during renal dialysis,iD
866731000006115,Kidney replacement NOS,iD
866751000006110,Kidney replacement,iD
877641000006113,Extracorporeal kidney,iD
1927751000006113,Complication of dialysis,iD
2613841000000113,Dialysis therapy started by renal service,iD
4259231000006110,Post-dialysis,iD
5094161000006119,End stage renal failure on dialysis,iD
5488801000006112,Kidney dialysis,iD
6447761000006113,Dialysis care,iD
6593721000006112,Dialysis catheter,iD
6613531000006114,Renal replacement,iD
6922501000006119,Dialysis unit,iD
7714891000006118,Chronic kidney disease stage 5 on dialysis,iD
4223014,Bilateral nephrectomy,iKRT
1229817017,Bilateral congenital absence of kidneys,iKRT
118218017,Peritoneal dialysis,PD
261136015,Peritoneal dialysis sample,PD
278844014,Insertion of temporary peritoneal dialysis catheter,PD
282526013,Intestinal dialysis,PD
354591016,Bloodstained peritoneal dialysis effluent,PD
357219012,Continuous ambulatory peritoneal dialysis,PD
453312018,Peritoneal dialysis-associated peritonitis,PD
1227723010,[V]Aftercare involving peritoneal dialysis,PD
2474453011,Peritoneal dialysis fluid cell count,PD
2692168016,Automated peritoneal dialysis,PD
375841000000114,Peritoneal dialysis NEC,PD
773041000006111,Insertion of chronic ambulatory peritoneal dialysis catheter,PD
906311000006117,[RFC] Continuous ambulatory peritoneal dialysis,PD
1743241000006119,Continuous ambulatory peritoneal dialysis associated peritonitis,PD
1848741000006116,Complication of peritoneal dialysis,PD
2641961000000110,Peritoneal dialysis fluid adenosine deaminase level,PD
4611391000006114,Peritoneal dialysate sample,PD
5120171000006118,CAPD - Continuous ambulatory peritoneal dialysis,PD
5120251000006115,Night-time intermittent peritoneal dialysis,PD
6210341000006119,Peritoneal dialysis catheter,PD
7083771000006113,Peritoneal dialysis catheter procedure,PD
7207581000006116,Laparoscopic insertion of peritoneal dialysis catheter,PD
7262731000006112,Cloudy peritoneal dialysis effluent,PD
7406851000006110,Peritoneal dialysis system tubing set,PD
117168016,Renal transplant,Tx
272320011,Allotransplantation of kidney from live donor,Tx
272325018,Cadaveric renal transplant,Tx
272326017,Other specified transplantation of kidney,Tx
272327014,Transplantation of kidney NOS,Tx
272389014,Exploration of renal transplant,Tx
324973015,Kidney transplant failure and rejection,Tx
353974015,Xenograft renal transplant,Tx
354610013,Renal transplant rejection,Tx
354612017,Accelerated rejection of renal transplant,Tx
354613010,Very mild acute rejection of renal transplant,Tx
354615015,Acute rejection of renal transplant,Tx
354616019,Acute rejection of renal transplant - grade I,Tx
354617011,Acute rejection of renal transplant - grade II,Tx
354618018,Acute rejection of renal transplant - grade III,Tx
354619014,Chronic rejection of renal transplant,Tx
354621016,Chronic transplant nephropathy,Tx
354623018,Chronic rejection of renal transplant - grade 1,Tx
354624012,Chronic rejection of renal transplant - grade II,Tx
354627017,Chronic rejection of renal transplant - grade III,Tx
354628010,Acute-on-chronic rejection of renal transplant,Tx
394365013,Transplant nephrectomy,Tx
413415016,Unexplained episode of renal transplant dysfunction,Tx
422992018,Excision of rejected transplanted kidney,Tx
460644012,History of renal transplant,Tx
501594013,Transplantation of kidney,Tx
90461000006118,Transplantation of kidney from cadaver,Tx
90471000006113,Live donor renal transplant,Tx
177251000006119,"Renal transplant with complication, without blame",Tx
177341000006111,Renal tubulo-interstitial disorders in transplant rejection,Tx
366671000000118,Interventions associated with transplantation of kidney,Tx
372621000000114,Allotransplantation of kidney from beating heart cadaver,Tx
380061000000118,Interventions associated with transplantation of kidney NOS,Tx
380101000000116,Examination of recipient after kidney transplant,Tx
399381000000115,Allotransplantation of kidney from cadaver NEC,Tx
424791000006110,[X]Renal tubulo-interstitial disorders/transplant rejection,Tx
478131000006115,Allotransplantation of kidney from cadaver,Tx
615611000006116,Det.ren.func.after ren.transpl,Tx
754061000006111,"Kidney transplant with complication, without blame",Tx
754781000006116,"Kidney dialysis with complication, without blame",Tx
900121000006113,Renal transplant rejected,Tx
906351000006116,[RFC] Renal transplant,Tx
988961000006115,Renal transplant rejected,Tx
1549841000006116,Allotransplantation of kidney from non-beating heart cadaver,Tx
1550021000006110,OS interventions associated with transplantation of kidney,Tx
1905531000006112,Excision of rejected transplanted kidney,Tx
2189151000000117,Urological complication of renal transplant,Tx
2191221000000118,Vascular complication of renal transplant,Tx
2197961000000113,Rupture of artery of transplanted kidney,Tx
2198001000000111,Rupture of vein of transplanted kidney,Tx
