medcodeid,medcode_term
118218017,Peritoneal dialysis
261136015,Peritoneal dialysis sample
278844014,Insertion of temporary peritoneal dialysis catheter
282526013,Intestinal dialysis
354591016,Bloodstained peritoneal dialysis effluent
357219012,Continuous ambulatory peritoneal dialysis
453312018,Peritoneal dialysis-associated peritonitis
1227723010,[V]Aftercare involving peritoneal dialysis
2474453011,Peritoneal dialysis fluid cell count
2692168016,Automated peritoneal dialysis
3.75841E+14,Peritoneal dialysis NEC
7.73041E+14,Insertion of chronic ambulatory peritoneal dialysis catheter
9.06311E+14,[RFC] Continuous ambulatory peritoneal dialysis
1743241000006119,Continuous ambulatory peritoneal dialysis associated peritonitis
1848741000006116,Complication of peritoneal dialysis
2641961000000110,Peritoneal dialysis fluid adenosine deaminase level
4611391000006114,Peritoneal dialysate sample
5120171000006118,CAPD - Continuous ambulatory peritoneal dialysis
5120251000006115,Night-time intermittent peritoneal dialysis
6210341000006119,Peritoneal dialysis catheter
7083771000006113,Peritoneal dialysis catheter procedure
7207581000006116,Laparoscopic insertion of peritoneal dialysis catheter
7262731000006112,Cloudy peritoneal dialysis effluent
7406851000006110,Peritoneal dialysis system tubing set
