medcodeid,allcancer_term
406052010,"Malignant neoplasm of lip, oral cavity and pharynx"
380095017,"Carcinoma of lip, oral cavity and pharynx"
724891000006113,Malignant neoplasm of lip
403771011,Carcinoma of lip
1228504019,"Malignant neoplasm of upper lip, vermilion border"
720801000006112,Malignant tumour of vermilion border of lip
288350019,"Malignant neoplasm of upper lip, lipstick area"
288351015,Malignant tumour of vermilion border of upper lip
724421000006114,"Malignant neoplasm of lower lip, vermilion border"
288354011,"Malignant neoplasm of lower lip, external"
1228506017,"Malignant neoplasm of lower lip, lipstick area"
288355012,Malignant tumour of vermilion border of lower lip
288363013,"Malignant neoplasm of upper lip, inner aspect"
288372017,"Malignant neoplasm of upper lip, frenulum"
288364019,"Malignant neoplasm of upper lip, mucosa"
288362015,"Malignant neoplasm of upper lip, oral aspect"
288377011,"Malignant neoplasm of upper lip, inner aspect NOS"
406399011,"Malignant neoplasm of lower lip, inner aspect"
288380012,"Malignant neoplasm of lower lip, buccal aspect"
288382016,"Malignant neoplasm of lower lip, frenulum"
724401000006116,Malignant tumour of lower labial mucosa
724411000006118,"Malig neoplasm of lower lip, oral aspect"
288387010,"Malignant neoplasm of lower lip, inner aspect NOS"
288388017,Malignant tumour of labial mucosa
724901000006112,"Malignant neoplasm of lip unspecified, buccal aspect"
288391017,"Malignant neoplasm of lip unspecified, mucosa"
288393019,"Malignant neoplasm of lip, oral aspect"
726351000006116,Malignant neoplasm of commissure of lip
288404018,Malignant neoplasm of overlapping lesion of lip
453301018,Malignant tumour of lip
288408015,"Malignant neoplasm of lip, unspecified, external"
288409011,Malignant tumour of lipstick area of lip
288410018,"Malignant neoplasm of lip, vermilion border NOS"
721311000006114,Malignant tumour of tongue
727381000006110,Malignant tumour of base of tongue
1228509012,Malignant neoplasm of posterior third of tongue
288411019,Malignant neoplasm of base of tongue dorsal surface
288412014,Malignant neoplasm of fixed part of tongue NOS
155211011,Malignant neoplasm of dorsal surface of tongue
288418013,Malignant neoplasm of dorsum of tongue NOS
288419017,"Malignant neoplasm of tongue, tip and lateral border"
155669014,Malignant neoplasm of ventral surface of tongue
288423013,Malignant neoplasm of anterior 2/3 of tongue ventral surface
288427014,Malignant neoplasm of frenulum linguae
288429012,Malignant neoplasm of ventral surface of tongue
288430019,Malignant neoplasm of anterior 2/3 of tongue unspecified
288433017,"Malignant neoplasm of tongue, junctional zone"
724881000006110,Malignant neoplasm of lingual tonsil
1219531013,Malignant overlapping lesion of tongue
288434011,Malignant neoplasm of other sites of tongue
288435012,Malignant neoplasm of tongue NOS
1228510019,Malignant neoplasm of major salivary glands
723501000006117,Malignant tumour of parotid gland
1228513017,Malignant neoplasm of submandibular gland
721881000006113,Malignant neoplasm of sublingual gland
288437016,Malignant neoplasm of other major salivary glands
288438014,Malignant tumour of major salivary gland
725861000006118,Malignant neoplasm of gum
720761000006115,Malignant neoplasm of upper gum
724311000006111,Malignant neoplasm of lower gum
288439018,Malignant neoplasm of other sites of gum
288440016,Malignant neoplasm of gum NOS
