icd10_code,cvd_term
I05,Rheumatic mitral valve diseases
I05.0,Mitral stenosis
I05.1,Rheumatic mitral insufficiency
I05.2,Mitral stenosis with insufficiency
I05.8,Other mitral valve diseases
I05.9,"Mitral valve disease, unspecified"
I06,Rheumatic aortic valve diseases
I06.0,Rheumatic aortic stenosis
I06.2,Rheumatic aortic stenosis with insufficiency
I06.8,Other rheumatic aortic valve diseases
I06.9,"Rheumatic aortic valve disease, unspecified"
I07,Rheumatic tricuspid valve diseases
I07.0,Tricuspid stenosis
I07.2,Tricuspid stenosis with insufficiency
I07.8,Other tricuspid valve diseases
I07.9,"Tricuspid valve disease, unspecified"
I08,Multiple valve diseases
I08.0,Disorders of both mitral and aortic valves
I08.1,Disorders of both mitral and tricuspid valves
I08.2,Disorders of both aortic and tricuspid valves
I08.3,"Combined disorders of mitral, aortic and tricuspid valves"
I08.8,Other multiple valve diseases
I08.9,"Multiple valve disease, unspecified"
I09.1,"Rheumatic diseases of endocardium, valve unspecified"
I11.0,Hypertensive heart disease with (congestive) heart failure
I13.0,Hypertensive heart and renal disease with (congestive) heart failure
I13.2,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure
I20.0,Unstable angina
I20.1,angina pectoris with documented spasm
I20.8,other forms of angina pectoris
I20.9,"angina pectoris, unspecified"
I21,Acute myocardial infarction
I21.0,Acute transmural myocardial infarction of anterior wall
I21.1,Acute transmural myocardial infarction of inferior wall
I21.2,Acute transmural myocardial infarction of other sites
I21.3,Acute transmural myocardial infarction of unspecified site
I21.4,Acute subendocardial myocardial infarction
I21.9,"Acute myocardial infarction, unspecified"
I22,Subsequent myocardial infarction
I22.0,Subsequent myocardial infarction of anterior wall
I22.1,Subsequent myocardial infarction of inferior wall
I22.8,Subsequent myocardial infarction of other sites
I22.9,Subsequent myocardial infarction of unspecified site
I23,Certain current complications following acute myocardial infarction
I23.0,Haemopericardium as current complication following acute myocardial infarction
I23.1,Atrial septal defect as current complication following acute myocardial infarction
I23.2,Ventricular septal defect as current complication following acute myocardial infarction
I23.3,Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction
I23.4,Rupture of chordae tendineae as current complication following acute myocardial infarction
I23.5,Rupture of papillary muscle as current complication following acute myocardial infarction
I23.6,"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction"
I23.8,Other current complications following acute myocardial infarction
I24,other acute ischaemic heart diseases
I24.0,coronary thrombosis not resulting in myocardial infarction
I24.1,dressler syndrome
I24.8,other forms of acute ischaemic heart disease
I24.9,"Acute ischaemic heart disease, unspecified"
I25,chronic ischaemic heart disease
I25.0,"atherosclerotic cardiovascular disease, so described"
I25.1,atherosclerotic heart disease
I25.2,old myocardial infarction
I25.3,anyeurysm of heart
I25.4,coronary artery aneurysm and dissection
I25.5,Ischaemic cardiomyopathy
I25.6,silent myocardial ischaemia
I25.8,other forms of chronic ischaemic heart disease
I25.9,"chronic ischaemic heart disease, unspecified"
I34,Nonrheumatic mitral valve disorders
I34.0,Mitral (valve) insufficiency
I34.1,Mitral (valve) prolapse
I34.2,Nonrheumatic mitral (valve) stenosis
I34.8,Other nonrheumatic mitral valve disorders
I34.9,"Nonrheumatic mitral valve disorder, unspecified"
I35,Nonrheumatic aortic valve disorders
I35.0,Aortic (valve) stenosis
I35.1,Aortic (valve) insufficiency
I35.2,Aortic (valve) stenosis with insufficiency
I35.8,Other aortic valve disorders
I35.9,"Aortic valve disorder, unspecified"
I36,Nonrheumatic tricuspid valve disorders
I36.0,Nonrheumatic tricuspid (valve) stenosis
I36.1,Nonrheumatic tricuspid (valve) insufficiency
I36.2,Nonrheumatic tricuspid (valve) stenosis with insufficiency
I36.8,Other nonrheumatic tricuspid valve disorders
I36.9,"Nonrheumatic tricuspid valve disorder, unspecified"
I37,Pulmonary valve disorders
I37.0,Pulmonary valve stenosis
I37.1,Pulmonary valve insufficiency
I37.2,Pulmonary valve stenosis with insufficiency
I37.8,Other pulmonary valve disorders
I37.9,"Pulmonary valve disorder, unspecified"
I38.X,"Endocarditis, valve unspecified"
I39,Endocarditis and heart valve disorders in diseases classified elsewhere
I39.0,Mitral valve disorders in diseases classified elsewhere
I39.1,Aortic valve disorders in diseases classified elsewhere
I39.2,Tricuspid valve disorders in diseases classified elsewhere
I39.3,Pulmonary valve disorders in diseases classified elsewhere
I39.4,Multiple valve disorders in diseases classified elsewhere
I39.8,"Endocarditis, valve unspecified, in diseases classified elsewhere"
I42.0,Dilated cardiomyopathy
I42.1,Obstructive hypertrophic cardiomyopathy
I42.2,Other hypertrophic cardiomyopathy
