medcodeid,cvd_term
4031011,old myocardial infarction
4032016,healed myocardial infarction
7844010,preinfarction syndrome
7845011,unstable angina
7847015,crescendo angina
22740018,aneurysm of iliac artery
32122016,status anginosus
37443015,heart attack
59952018,nocturnal angina
80421013,aneurysm of popliteal artery
87208017,thromboangiitis obliterans
87210015,buerger's disease
94884017,acute myocardial infarction
98087016,angina decubitus
109915012,post-myocardial infarction syndrome
116992017,acute subendocardial infarction
133518010,gas gangrene
144819018,variant angina pectoris
151487012,aneurysm of femoral artery
208365015,postoperative myocardial infarction
216185010,peripheral vascular disease monitoring
251679016,h/o: angina pectoris
256133012,o/e - gangrene
256452010,ecg: myocardial infarction
256454011,ecg: old myocardial infarction
256455012,ecg: antero-septal infarct.
256457016,ecg:posterior/inferior infarct
256459018,ecg: lateral infarction
256460011,ecg: myocardial infarct nos
264492012,angina control
264493019,angina control - good
264494013,angina control - poor
264495014,angina control - improving
264496010,angina control - worsening
264497018,angina control nos
264500012,chd monitoring
271431019,other bypass of bifurcation of aorta
271444012,other specified other bypass of bifurcation of aorta
271445013,other bypass of bifurcation of aorta nos
272031013,open embolectomy of femoral artery
272035016,open embolectomy popliteal artery
272038019,operation on popliteal artery nec
272041011,repair of femoral artery with temporary silastic shunt
272042016,repair of popliteal artery with temporary silastic shunt
272055015,percutaneous transluminal embolectomy of femoral artery
272056019,percutaneous transluminal embolectomy of popliteal artery
272059014,percutaneous transluminal embolisation of femoral artery
272061017,percutaneous transluminal embolisation of popliteal artery
272066010,arteriography of popliteal artery
272071015,other specified operations on iliac and femoral artery
272076013,revision of reconstruction involving iliac artery
272077016,revision of reconstruction involving femoral artery
272078014,revision of reconstruction of popliteal artery
279423010,deep circumflex iliac artery flap
286566010,gas gangrene-hand
286569015,gas gangrene-leg
286570019,gas gangrene-foot
299707016,acute anterior myocardial infarction
299709018,anterior myocardial infarction nos
299710011,acute posterior myocardial infarction
299711010,acute lateral myocardial infarction
299712015,true posterior myocardial infarction
299714019,acute myocardial infarction of inferior wall
299718016,other acute myocardial infarction
299720018,other acute myocardial infarction nos
299721019,acute myocardial infarction nos
299723016,other acute and subacute ischaemic heart disease
299741012,preinfarction syndrome
299745015,acute coronary insufficiency
299750014,other acute and subacute ischaemic heart disease nos
299757012,angina pectoris
299763015,angina decubitus nos
299765010,angina pectoris nos
299776014,chronic ischaemic heart disease
299800012,other specified chronic ischaemic heart disease
299804015,other specified chronic ischaemic heart disease nos
299805019,other chronic ischaemic heart disease nos
299808017,subsequent myocardial infarction
299811016,subsequent myocardial infarction of anterior wall
299812011,subsequent myocardial infarction of inferior wall
299813018,subsequent myocardial infarction of other sites
299834013,other specified ischaemic heart disease
299835014,ischaemic heart disease nos
300277011,"intracerebral haemorrhage, intraventricular"
300287010,intracerebral haemorrhage nos
300303013,basilar artery occlusion
300309012,vertebral artery occlusion
300310019,multiple and bilateral precerebral arterial occlusion
300312010,cerebral infarct due to thrombosis of precerebral arteries
300313017,cerebral infarction due to embolism of precerebral arteries
300321011,cerebral infarction due to thrombosis of cerebral arteries
300407010,sequelae of intracerebral haemorrhage
300460014,aneurysm of common iliac artery
300463011,aneurysm of external iliac artery
300464017,aneurysm of internal iliac artery
300466015,aneurysm of iliac artery nos
300503012,thromboangiitis obliterans nos
300504018,peripheral gangrene
300505017,gangrene of toe
300506016,gangrene of foot
300509011,gangrene of hand
300539018,embolism and thrombosis of the femoral artery
300540016,embolism and thrombosis of the popliteal artery
300553018,embolism and/or thrombosis of the common iliac artery
300554012,embolism and/or thrombosis of the internal iliac artery
300555013,embolism and/or thrombosis of the external iliac artery
300556014,embolism and thrombosis of the iliac artery unspecified
300607015,arterial insufficiency
300874013,[x]other forms of angina pectoris
300876010,[x]other forms of acute ischaemic heart disease
300879015,[x]other forms of chronic ischaemic heart disease
300881018,[x]subsequent myocardial infarction of other sites
300882013,[x]subsequent myocardial infarction of unspecified site
300956017,"[x]intracerebral haemorrhage in hemisphere, unspecified"
317343014,[d]gangrene
317344015,"[d]gangrene, spreading cutaneous"
350348018,stable angina
350350014,new onset angina
350376014,silent myocardial infarction
350564010,aortoiliac obstruction
357894012,arterial leg ulcer
375462013,claudication distance
394321017,iliac and femoral artery operations
394326010,reconstruction of iliac artery
394330013,other open operations on iliac artery
394331012,repair of iliac artery
394332017,open embolectomy of iliac artery
394335015,arteriography of iliac artery
394340011,reconstruction of femoral artery or popliteal artery
394341010,other open operations on femoral artery or popliteal artery
394345018,arteriography of femoral artery
395337016,gas gangrene caused by clostridium histolyticum
395338014,gas gangrene caused by clostridium oedematiens
395340016,gas gangrene caused by clostridium perfringens
395341017,gas gangrene caused by clostridium welchii
410962015,dacron aortoiliac y graft
410966017,other open operations on common iliac artery
410967014,repair of common iliac artery
410974016,reconstruction of popliteal artery
410975015,reconstruction of deep femoral artery
410976019,reconstruction of common femoral artery
410977011,reconstruction of femoral artery
410979014,other open operations on popliteal artery
411078012,reconstruction of superficial femoral artery
411214011,open embolectomy of common iliac artery
411416011,stroke in the puerperium
411904010,aspirin prophylaxis for ischaemic heart disease
413750011,central post-stroke pain
442204010,angina on effort
447324018,acute q-wave infarct
449935012,admission to stroke unit
451369010,h/o: myocardial infarction in last year
451370011,h/o: angina in last year
451372015,h/o: treatment for ischaemic heart disease
455422014,postoperative subendocardial myocardial infarction
455423016,"postoperative myocardial infarction, unspecified"
455424010,ruptured popliteal artery aneurysm
458410010,post infarct angina
458505013,iliac artery occlusion
458506014,femoral artery occlusion
458507017,popliteal artery occlusion
459483011,coronary heart disease monitoring refused
459487012,refractory angina
459859010,asymptomatic coronary heart disease
460133017,coronary heart disease annual review
460687010,history of placement of stent for coronary artery disease
493423011,pulp gangrene
494261017,worsening angina
498328016,angina at rest
502878012,cerebellar haemorrhage
1212072018,occlusive stroke
1229885017,microinfarction of heart
1234005010,acute inferoposterior infarction
1234306015,acute septal infarction
1235225010,prinzmetal's angina
1484833014,coronary heart disease review
1484939014,coronary heart disease monitoring administration
1488382011,acute coronary syndrome
1488440011,coronary heart disease medication review
1780442013,attends coronary heart disease monitoring
1780447019,coronary heart disease monitoring verbal invitation
1780448012,coronary heart disease monitoring deleted
1780491019,acute st segment elevation myocardial infarction
1780501013,acute non-st segment elevation myocardial infarction
1780517019,coronary heart disease monitoring default
1780518012,coronary heart disease monitoring check done
1786197015,coronary thrombosis
1786198013,thrombosis - coronary
2476091017,h/o: stroke
2534664018,ischaemic heart disease
2536395017,coronary artery disease
2537480011,ihd - ischaemic heart disease
2548554013,haemorrhagic stroke monitoring
3505637014,occlusion of left middle cerebral artery
3505639012,occlusion of right middle cerebral artery
3505651014,occlusion of left posterior cerebral artery
3508952018,cerebrovascular accident due to thrombus of left carotid artery
3508955016,cerebrovascular accident due to thrombus of basilar artery
3508956015,stroke due to basilar artery thrombus
3508958019,cerebrovascular accident due to thrombus of right carotid artery
3508961018,cerebrovascular accident due to thrombus of right middle cerebral artery
3508962013,stroke due to thrombus of right middle cerebral artery
3508964014,cerebrovascular accident due to thrombus of left middle cerebral artery
3508965010,stroke due to thrombus of left middle cerebral artery
3509777019,cerebrovascular accident due to occlusion of left pontine artery
3509790014,cerebrovascular accident due to occlusion of right posterior cerebral artery
3509794017,cerebrovascular accident due to occlusion of left middle cerebral artery
3509799010,cerebrovascular accident due to occlusion of left posterior cerebral artery
3509810017,cerebrovascular accident due to occlusion of right middle cerebral artery
3509817019,left hemispheric cerebellar artery embolism with stroke
3636133016,cerebrovascular accident due to occlusion of right middle cerebral artery by embolus
3636969013,occlusion of right middle cerebral artery by embolus
24561000006118,other open operation on femoral or popliteal artery nos
24571000006113,other open operation on femoral or popliteal artery os
