icd10_code,dementia_term
F00,Dementia in Alzheimer's disease
F00.0,Dementia in Alzheimer's disease with early onset
F00.1,Dementia in Alzheimer's disease with late onset
F00.2,"Dementia in Alzheimer's disease, atypical or mixed type"
F00.9,"Dementia in Alzheimer's disease, unspecified"
F01,Vascular dementia
F01.0,Vascular dementia of acute onset
F01.1,Multi-infarct dementia
F01.2,Subcortical vascular dementia
F01.3,Mixed cortical and subcortical vascular dementia
F01.8,Other vascular dementia
F01.9,"Vascular dementia, unspecified"
F02,Dementia in other diseases classified elsewhere
F02.0,Dementia in Pick's disease
F02.1,Dementia in Creutzfeldt-Jakob disease
F02.2,Dementia in Huntington's disease
F02.3,Dementia in Parkinson's disease
F02.4,Dementia in human immunodeficiency virus [HIV] disease
F02.8,Dementia in other specified diseases classified elsewhere
F03,Unspecified dementia
F05.1,Delirium superimposed on dementia
