icd10_code,dm_term,dm_type
E10,Type 1 diabetes mellitus,type 1
E10.0,Type 1 diabetes mellitus,type 1
E10.1,Type 1 diabetes mellitus,type 1
E10.2,Type 1 diabetes mellitus,type 1
E10.3,Type 1 diabetes mellitus,type 1
E10.4,Type 1 diabetes mellitus,type 1
E10.5,Type 1 diabetes mellitus,type 1
E10.6,Type 1 diabetes mellitus,type 1
E10.7,Type 1 diabetes mellitus,type 1
E10.8,Type 1 diabetes mellitus,type 1
E10.9,Type 1 diabetes mellitus,type 1
O24.0,Diabetes mellitus in pregnancy: Pre-existing type 1 diabetes mellitus,type 1
E11,Type 2 diabetes mellitus,type 2
E11.0,Type 2 diabetes mellitus,type 2
E11.1,Type 2 diabetes mellitus,type 2
E11.2,Type 2 diabetes mellitus,type 2
E11.3,Type 2 diabetes mellitus,type 2
E11.4,Type 2 diabetes mellitus,type 2
E11.5,Type 2 diabetes mellitus,type 2
E11.6,Type 2 diabetes mellitus,type 2
E11.7,Type 2 diabetes mellitus,type 2
E11.8,Type 2 diabetes mellitus,type 2
E11.9,Type 2 diabetes mellitus,type 2
O24.1,Diabetes mellitus in pregnancy: Pre-existing type 2 diabetes mellitus,type 2
