medcodeid,dm_term,dm_type
302011,Diabetic peripheral angiopathy,NOS
9093013,Diabetic retinopathy,NOS
15518018,Secondary diabetes mellitus,NOS
19931010,Brittle diabetes,NOS
65526011,Diabetic amyotrophy,NOS
73294018,Diabetic cataract,NOS
73466011,Non-insulin dependent diabetes mellitus,Type 2
77727018,Insulin dependent diabetes mellitus,NOS
82373015,Diabetic polyneuropathy,NOS
96244016,Protein-deficient diabetes mellitus,NOS
98476015,Proliferative diabetic retinopathy,NOS
121589010,Diabetes mellitus,NOS
178798017,Diabetic ketoacidosis without coma,NOS
197761014,Type 2 diabetes mellitus,Type 2
197984010,Type 1 diabetes mellitus,Type 1
205225016,Diabetic nephropathy,NOS
216195015,Diabetes care by hospital only,NOS
216201011,Diabetic retinopathy screening,NOS
250447011,Diabetic diet,NOS
251187019,Diabetic association member,NOS
251591016,H/O: diabetes mellitus,NOS
251892015,H/O: insulin therapy,NOS
257623014,Hb. A1C - diabetic control NOS,NOS
264676010,Diabetic monitoring,NOS
264677018,Initial diabetic assessment,NOS
264678011,Follow-up diabetic assessment,NOS
264679015,Diabetic on diet only,NOS
264681018,Diabetic on oral treatment,NOS
264682013,Diabetic on insulin,NOS
264693010,Has seen dietician - diabetes,NOS
264695015,Understands diet - diabetes,NOS
264701014,Fundoscopy - diabetic check,NOS
264704018,Diabetic drug side effects,NOS
264705017,Diabetic treatment changed,NOS
264706016,Conversion to insulin,NOS
264707013,Diabetic - good control,NOS
264716012,Diabetic - poor control NOS,NOS
264717015,Diabetic - cooperative patient,NOS
264718013,Diabetic-uncooperative patient,NOS
264719017,Diabetic - follow-up default,NOS
264720011,Date diabetic treatment start,NOS
264723013,Diabetes: practice programme,NOS
264724019,Diabetes: shared care programme,NOS
264726017,Diabetes management plan given,NOS
264727014,Diabetic annual review,NOS
264728016,Annual diabetic blood test,NOS
264729012,Diabetic monitoring NOS,NOS
278718015,Continuous subcutaneous infusion of insulin,NOS
282568013,Diabetic crisis monitoring,NOS
282570016,Diabetic stabilisation,NOS
283027015,Diabetic leaflet given,NOS
283544013,Admit diabetic emergency,NOS
283584016,Non-urgent diabetic admission,NOS
283620017,Referral to diabetologist,NOS
283709014,"Refer, diabetic liaison nurse",NOS
283889016,Diabetology D.V. requested,NOS
283938017,Diabetology D.V. done,NOS
283974014,Listed for Diabetology admissn,NOS
284124018,Private referral to diabetologist,NOS
285223014,Seen in diabetic clinic,NOS
285751016,Attends diabetes monitoring,NOS
285752011,Refuses diabetes monitoring,NOS
285753018,Diabetes monitoring default,NOS
285759019,Diabetes monitoring deleted,NOS
292466013,Diabetes mellitus with no mention of complication,NOS
292475010,Diabetes mellitus NOS with no mention of complication,NOS
292478012,Other specified diabetes mellitus with ketoacidosis,NOS
292479016,Diabetes mellitus NOS with ketoacidosis,NOS
292480018,Diabetes mellitus with hyperosmolar coma,NOS
292482014,"Diabetes mellitus, juvenile type, with hyperosmolar coma",NOS
292483016,"Diabetes mellitus, adult onset, with hyperosmolar coma",NOS
292484010,Diabetes mellitus NOS with hyperosmolar coma,NOS
292488013,Other specified diabetes mellitus with coma,NOS
292489017,Diabetes mellitus NOS with ketoacidotic coma,NOS
292495016,Other specified diabetes mellitus with renal complications,NOS
292496015,Diabetes mellitis with nephropathy NOS,NOS
292503016,Diabetes mellitus NOS with ophthalmic manifestation,NOS
292512019,Diabetes mellitus NOS with neurological manifestation,NOS
292523015,Diabetes mellitus NOS with peripheral circulatory disorder,NOS
292538019,Type I diabetes mellitus with ulcer,Type 1
292540012,Type 1 diabetes mellitus with ulcer,Type 1
292541011,Type 1 diabetes mellitus with gangrene,Type 1
292543014,Type I diabetes mellitus with gangrene,Type 1
292548017,Type 1 diabetes mellitus - poor control,Type 1
292550013,Type I diabetes mellitus - poor control,Type 1
292551012,Type I diabetes mellitus maturity onset,Type 1
292553010,Type 1 diabetes mellitus maturity onset,Type 1
292565014,Unspecified diabetes mellitus with multiple complications,NOS
292576013,Type II diabetes mellitus with multiple complications,Type 1
292577016,Type 2 diabetes mellitus with multiple complications,Type 1
292579018,Type 2 diabetes mellitus with ulcer,Type 1
292581016,Type II diabetes mellitus with ulcer,Type 1
292582011,Type II diabetes mellitus with gangrene,Type 1
292583018,Type 2 diabetes mellitus with gangrene,Type 1
292589019,Type II diabetes mellitus - poor control,Type 1
292590011,Type 2 diabetes mellitus - poor control,Type 1
292606016,Malnutrition-related diabetes mellitus with ketoacidosis,NOS
292617015,Diabetes mellitus with other specified manifestation,NOS
292621010,Diabetes mellitus NOS with other specified manifestation,NOS
292622015,Diabetes mellitus with unspecified complication,NOS
292626017,Diabetes mellitus NOS with unspecified complication,NOS
293756010,[X]Other specified diabetes mellitus,NOS
293759015,[X]Unspecified diabetes mellitus with renal complications,NOS
297492014,Diabetic mononeuritis multiplex,NOS
297510017,Diabetic mononeuritis NOS,NOS
297550019,Acute painful diabetic neuropathy,NOS
297551015,Chronic painful diabetic neuropathy,NOS
297552010,Asymptomatic diabetic neuropathy,NOS
297754014,Preproliferative diabetic retinopathy,NOS
297755010,Advanced diabetic maculopathy,NOS
297758012,Diabetic retinopathy NOS,NOS
297964010,Diabetic iritis,NOS
303846016,Nephrotic syndrome in diabetes mellitus,NOS
303847013,Kimmelstiel - Wilson disease,NOS
305158015,[X]Glomerular disorders in diabetes mellitus,NOS
306112011,"Pre-existing diabetes mellitus, insulin-dependent",NOS
306113018,"Pre-existing diabetes mellitus, non-insulin-dependent",NOS
308110013,"[X]Pre-existing diabetes mellitus, unspecified",NOS
308360012,Cellulitis in diabetic foot,NOS
309177010,Ischaemic ulcer diabetic foot,NOS
309179013,Neuropathic diabetic ulcer - foot,NOS
309180011,Mixed diabetic ulcer - foot,NOS
309737011,Diabetic cheiroarthropathy,NOS
309738018,Diabetic cheiropathy,NOS
317347010,[D]Gangrene of toe in diabetic,NOS
317348017,[D]Widespread diabetic foot gangrene,NOS
324113011,Insulins and antidiabetic poisoning,NOS
324117012,Insulins or antidiabetic poisoning NOS,NOS
330806013,Adverse reaction to insulins and antidiabetic agents NOS,NOS
345486016,Diabetic neuropathy,NOS
345487013,Diabetes mellitus with neuropathy,NOS
345492010,Diabetic mononeuropathy,NOS
347657010,Diabetic maculopathy,NOS
354316011,Renal diabetes,NOS
354508018,Clinical diabetic nephropathy,NOS
354509014,Proteinuric diabetic nephropathy,NOS
356085010,Maturity onset diabetes in youth type 2,NOS
356110010,"Megaloblastic anaemia, thiamine-responsive, with diabetes mellitus and sensorineural deafness",NOS
356119011,Abnormal metabolic state in diabetes mellitus,NOS
356121018,Diabetic severe hyperglycaemia,NOS
358035014,Insulin lipohypertrophy,NOS
358036010,Insulin site lipohypertrophy,NOS
399419012,Myasthenic syndrome due to diabetic amyotrophy,NOS
401531012,Diabetic - poor control,NOS
404444016,Hb. A1C - diabetic control,NOS
405057014,Diabetes monitored,NOS
408811014,Diabetes treatment satisfaction questionnaire,NOS
