medcodeid,pvd_term
105536013,Intermittent claudication
1548341000006118,Percutaneous transluminal insertion of stent femoral artery
1715241000006112,Vascular claudication
17311000006112,Other replacement aneurysmal femoral artery by anastomosis
173401000006114,Replace aneurys fem art by fem/peron a anast c vein graf NEC
173421000006116,Replace aneurys pop art by pop/peron a anast c vein graf NEC
173481000006117,Replace aneurysm com iliac a by aorta/com iliac a anast NEC
173491000006119,Replace aneurysm fem art by fem/peron art anast c prosth NEC
173501000006110,Replace aneurysm fem art by fem/pop a anast c vein graft NEC
17351000006113,Other replacement of aneurysmal femoral/popliteal artery NOS
173511000006113,Replace aneurysm fem art by fem/pop art anastom c prosth NEC
173521000006117,Replace aneurysm fem art by fem/tib a anast c vein graft NEC
173531000006119,Replace aneurysm fem art by fem/tib art anast c prosth NEC
173541000006112,Replace aneurysm fem artery by fem/fem art anastomosis NEC
173551000006114,Replace aneurysm iliac art by aorta/ext iliac art anast NEC
173561000006111,Replace aneurysm iliac artery by iliac/iliac art anast NEC
173571000006116,Replace aneurysm leg artery by aorta/com fem art anast NEC
173581000006118,Replace aneurysm leg artery by aorta/sup fem art anast NEC
173591000006115,Replace aneurysm pop art by pop/peron art anast c prosth NEC
173601000006111,Replace aneurysm pop art by pop/pop a anast c vein graft NEC
17361000006110,Other replacement of aneurysmal femoral/popliteal artery OS
173611000006114,Replace aneurysm pop art by pop/pop art anastom c prosth NEC
173621000006118,Replace aneurysm pop art by pop/tib a anast c vein graft NEC
173631000006115,Replace aneurysm pop art by pop/tib art anast c prosth NEC
173641000006113,Replace aneurysm popliteal artery by pop/fem anastomosis NEC
173661000006112,Replace aneurysmal iliac art by iliac/femoral art anast NEC
173671000006117,Replace aneurysmal iliac artery by fem/fem artery anast NEC
1767701000006110,Bypass aorta anastomosis axillary artery bi femoral arteries
1847121000006114,Peripheral arterial disease
201761000006112,Profundoplasty and patch repair of popliteal artery
201771000006117,Profundoplasty femoral artery & patch repair deep fem artery
2377871000000112,Ischaemic foot pain at rest
2377911000000114,Ischaemic foot pain when walking
238621000006112,Percut translum thrombolysis femoral graft streptokinase
239491000006117,Percutaneous transluminal angioplasty of popliteal artery
271842015,Other specified replacement of aneurysmal iliac artery
271843013,Replacement of aneurysmal iliac artery NOS
271865013,Emergency bypass of iliac artery by unspecified anastomosis
271867017,Other specified other bypass of iliac artery
271868010,Other bypass of iliac artery NOS
271880019,Other specified reconstruction of iliac artery
271881015,Reconstruction of iliac artery NOS
271891014,Operation on aneurysm of iliac artery NEC
271895017,Other specified other open operation on iliac artery
271896016,Other open operation on iliac artery NOS
271900018,Percutaneous transluminal angioplasty of iliac artery
271901019,Percutaneous transluminal embolectomy of iliac artery
271905011,Insertion of iliac artery stent
271907015,Other specified transluminal operation on iliac artery
271908013,Transluminal operation on iliac artery NOS
272003016,Other bypass of femoral artery or popliteal artery NOS
272013012,Endarterectomy of femoral artery NEC
272014018,Endarterectomy of popliteal artery NEC
272017013,Profundoplasty of femoral artery NEC
272018015,Profundoplasty of popliteal artery NEC
272019011,Reconstruction of femoral artery with vein graft
272020017,Reconstruction of popliteal artery with vein graft
272022013,Reconstruction of femoral or popliteal artery NOS
272029016,Repair of femoral artery NEC
272030014,Repair of popliteal artery NEC
272032018,Open thrombectomy of femoral artery
272034017,Open thrombectomy of popliteal artery
272036015,Ligation of aneurysm of popliteal artery
272037012,Operation on aneurysm of femoral artery NEC
272052017,Percutaneous transluminal angioplasty of femoral artery
280561000006111,Non-insulin-dependent d m with peripheral angiopath
281211000006117,Non-insulin dependent diabetes mellitus with gangrene
292523015,Diabetes mellitus NOS with peripheral circulatory disorder
