icd_code,icd_descr
I12.0,Hypertensive renal disease with renal failure
I13.1,Hypertensive heart and renal disease with renal failure
I13.2,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure
N18.5,"Chronic kidney disease, stage 5"
N18.6,End stage renal disease
N19,Unspecified kidney failure
N99.0,Postprocedural (acute or chronic) kidney failure
O08.4,Renal failure following ectopic and molar pregnancy
P96.0,Congenital renal failure
Q60.1,"Renal agenesis, bilateral"
E85.3,Haemodialysis-associated amyloidosis
N16.5,Renal tubulo-interstitial disorders in transplant rejection
T82.4,Mechanical complication of vascular dialysis catheter
T86.1,Kidney transplant failure and rejection
Y60.2,"Unintentional cut, puncture, perforation or haemorrhage during surgical and medical care - During kidney dialysis or other perfusion"
Y61.2,Foreign object accidentally left in body during surgical and medical care - During kidney dialysis or other perfusion
Y62.2,Failure of sterile precautions during surgical and medical care - During kidney dialysis or other perfusion
Y84.1,"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure - Kidney dialysis"
Z49.1,Extracorporeal dialysis
Z49.2,Other dialysis
Z49.3,Encounter for adequacy testing for dialysis
Z94.0,Kidney transplant status
Z99.2,Dependence on renal dialysis
