medcodeid,medcode_term
906311000006117,[RFC] Continuous ambulatory peritoneal dialysis
906351000006116,[RFC] Renal transplant
460911015,[V]Aftercare involving extracorporeal dialysis
460910019,[V]Aftercare involving intermittent dialysis
1227723010,[V]Aftercare involving peritoneal dialysis
1227722017,[V]Aftercare involving renal dialysis NOS
299665018,Hypertensive renal disease with renal failure
299673010,Hypertensive heart and renal disease with renal failure
303915016,Other acute renal failure
303916015,Acute renal failure NOS
305191012,[X]Other acute renal failure
305192017,[X]Other chronic renal failure
305328015,Incomplete spontaneous abortion with renal failure
305343018,Complete spontaneous abortion with renal failure
305387010,Legal termination of pregnancy complicated by renal failure
305407013,Incomplete legal abortion with renal failure
305428016,Complete legal abortion with renal failure
305447018,Unspecified illegal abortion with renal failure
305460012,Incomplete illegal abortion with renal failure
305473011,Complete illegal abortion with renal failure
305491018,Unspecified abortion with renal failure
305530017,Failed attempted abortion with renal failure
305569011,Renal failure following abortive pregnancy
305571011,Acute renal failure following abortive pregnancy
307550017,Post-delivery acute renal failure unspecified
307552013,Post-delivery acute renal failure with postnatal problem
307553015,Post-delivery acute renal failure NOS
354413016,Acute drug-induced renal failure
354417015,Acute-on-chronic renal failure
460913017,[V]Other specified aftercare involving intermittent dialysis
460914011,[V]Unspecified aftercare involving intermittent dialysis
384641000006114,[X]Failure sterile precautions dur kidney dialys/other perf
387441000006119,[X]Foreign obj accid left body dur kidney dialys/oth perfus
394661000006112,[X]Kidny dialysis caus abn reac pt/lat comp no misad at time
356557018,Renal failure-associated hyperphosphataemia
424791000006110,[X]Renal tubulo-interstitial disorders/transplant rejection
396711013,RF - Renal failure
402249011,Congenital renal failure
403109016,Renal failure as a complication of care
403110014,Kidney failure as a complication of care
454255014,Anaemia secondary to renal failure
460912010,[V]Preparatory care for dialysis
481692010,Acute renal failure due to rhabdomyolysis
509111010,Chronic renal failure
1212359014,Renal failure NOS following abortive pregnancy
1221119015,ARF - Acute renal failure
429761000006115,[X]Unintent cut/punct/perf/haemorrh dur kidney dial/oth perf
2645796013,Acute renal failure due to ACE inhibitor
354612017,Accelerated rejection of renal transplant
441161000006118,"Accid cut,puncture,perf,h'ge - kidney dialysis/oth perfusion"
441151000006115,"Accidental cut, puncture, perforation or haemorrhage during kidney dialysis"
176741000006110,Renal failure after crushing
176771000006119,Renal failure following crush syndrome
446291000006111,Accidental cut/puncture/perf/haem'ge during renal dialysis
507993019,Acute hypercalcaemia of dialysis
216921000006111,Post-delivery acute renal failure - delivered with p/n prob
218351000000112,Post operative renal failure
354615015,Acute rejection of renal transplant
354616019,Acute rejection of renal transplant - grade I
354617011,Acute rejection of renal transplant - grade II
354618018,Acute rejection of renal transplant - grade III
354628010,Acute-on-chronic rejection of renal transplant
372621000000114,Allotransplantation of kidney from beating heart cadaver
478131000006115,Allotransplantation of kidney from cadaver
399381000000115,Allotransplantation of kidney from cadaver NEC
424731000006111,Renal failure
460091000006111,Acute renal failure
460121000006110,Acute renal failure following labour and delivery
480871000006117,Anaemia of chronic renal failure
272320011,Allotransplantation of kidney from live donor
1549841000006116,Allotransplantation of kidney from non-beating heart cadaver
354575019,Aluminium bone disease
354582015,Aluminium-related fracturing osteodystrophy
354578017,Aluminium-related osteomalacia
354574015,Aluminium-related osteopathy
7615371000006117,Anaemia in end stage renal disease
2211671000000119,Anaphylactoid reaction due to haemodialysis
1847111000006118,Aneurysm of anastomotic site of dialysis arteriovenous fistula
2209101000000119,Aneurysm of artery of transplanted kidney
789941000006117,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure
886631000006110,Renal failure NOS
887731000006115,Renal failure
906301000006115,[RFC] Renal probs including renal failure
2195661000000114,Aneurysm of dialysis arteriovenous fistula
2232261000000110,Aneurysm of dialysis vascular access
1705781000006113,Acute renal failure due to obstruction
1816581000006110,Kidney failure unspecified
2195721000000112,Aneurysm of needle site of dialysis arteriovenous fistula
1847091000006110,Aneurysm of superficialised artery of dialysis arteriovenous fistula
1847641000006114,Acute renal failure induced by non-steroidal anti-inflammatory drug
2209021000000112,Aneurysm of vein of transplanted kidney
5120131000006116,Aspiration of chronic ambulatory peritoneal dialysis catheter
2692168016,Automated peritoneal dialysis
354567013,Beta-2 microglobulin arthropathy
2180741000000113,Acute renal failure induced by aminoglycoside
2180861000000117,Acute renal failure induced by cisplatin
2180901000000112,Acute renal failure induced by cyclosporin A
2184271000000115,Acute renal failure due to non-traumatic rhabdomyolysis
2185551000000111,Acute renal failure induced by animal toxin
2185591000000115,Acute renal failure induced by plant toxin
2185631000000115,Acute renal failure induced by heavy metal
2191151000000117,Acute renal failure induced by poison
2191301000000116,Acute renal failure induced by radiographic contrast media
2191381000000114,Acute renal failure induced by solvent
1229817017,Bilateral congenital absence of kidneys
4223014,Bilateral nephrectomy
2528541000006114,Bilateral total nephrectomy
2198081000000118,Acute renal failure due to traumatic rhabdomyolysis
2206831000000114,Acute kidney injury stage 3
7238471000006113,Biopsy of transplanted kidney using ultrasound guidance
5095971000006111,Blockage of peritoneal dialysis catheter
354591016,Bloodstained peritoneal dialysis effluent
2214211000000112,Acute renal failure induced by toxin
511401000006113,BRA - Bilateral renal agenesis
7700671000006112,Cadaver donor for kidney transplant
272325018,Cadaveric renal transplant
5120171000006118,CAPD - Continuous ambulatory peritoneal dialysis
2767154014,Chronic kidney disease stage 5
304111000000114,Chronic kidney disease stage 5
994441000006116,Chronic kidney disease stage 5
8027491000006113,Chronic kidney disease stage 5 due to type 1 diabetes mellitus
7966611000006114,Chronic kidney disease stage 5 due to type 2 diabetes mellitus
7714891000006118,Chronic kidney disease stage 5 on dialysis
596321000000110,Chronic kidney disease stage 5 with proteinuria
